"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-03-02T18:32:21Z"
"Version","20170302183221"
"OfferCode","AmazonEC2"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Max Volume Size","Max IOPS/volume","Max IOPS Burst Performance","Max throughput/volume","Provisioned","Tenancy","EBS Optimized","Operating System","License Model","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Comments","Dedicated EBS Throughput","Enhanced Networking Supported","GPU","Instance Capacity - 10xlarge","Instance Capacity - 2xlarge","Instance Capacity - 4xlarge","Instance Capacity - 8xlarge","Instance Capacity - large","Instance Capacity - medium","Instance Capacity - xlarge","Intel AVX Available","Intel AVX2 Available","Intel Turbo Available","Physical Cores","Pre Installed S/W","Processor Features","Sockets"
"YQHNG5NBWUE3D67S","4NA7Y494T4","YQHNG5NBWUE3D67S.4NA7Y494T4.6YS6EN2CT7","Reserved","Red Hat Enterprise Linux (Amazon VPC), m4.xlarge instance-hours used this month","2016-11-30","0","Inf","Hrs","0.2230000000","USD","1yr","No Upfront","standard","Compute Instance","AmazonEC2","US East (Ohio)","AWS Region","m4.xlarge","Yes","General purpose","4","Intel Xeon E5-2676 v3 (Haswell)","2.4  GHz","16 GiB","EBS only","High","64-bit",,,,,,,,"Dedicated",,"RHEL","No License required",,,,,,,,"USE2-DedicatedUsage:m4.xlarge","RunInstances:0010",,"750 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"EYDF9FPAH9XHZRBR","Z2E3P23VKM","EYDF9FPAH9XHZRBR.Z2E3P23VKM.6YS6EN2CT7","Reserved","Windows with SQL Server Web (Amazon VPC), r4.16xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","7.3070000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","r4.16xlarge","Yes","Memory optimized","64","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","488 GiB","EBS only","20 Gigabit","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EUC1-BoxUsage:r4.16xlarge","RunInstances:0202",,"12000 Mbps","Yes",,,,,,,,,,,,,"SQL Web","Intel AVX, Intel AVX2, Intel Turbo",
"WQ8JS87GX5QJ6VS4","JRTCKXETXF","WQ8JS87GX5QJ6VS4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.138 per Dedicated Windows i2.4xlarge Instance Hour","2017-02-01","0","Inf","Hrs","5.1382000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Seoul)","AWS Region","i2.4xlarge","Yes","Storage optimized","16","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","4 x 800 SSD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APN2-DedicatedUsage:i2.4xlarge","RunInstances:0002",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"74DZW9N4CZYAFK93","HU7G6KETJZ","74DZW9N4CZYAFK93.HU7G6KETJZ.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), m3.2xlarge instance-hours used this month","2015-04-30","0","Inf","Hrs","1.0070000000","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Singapore)","AWS Region","m3.2xlarge","Yes","General purpose","8","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","30 GiB","2 x 80 SSD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APS1-DedicatedUsage:m3.2xlarge","RunInstances:0006",,,,,,,,,,,,,,,,"SQL Std","Intel AVX; Intel Turbo",
"AWKS5CKWCSZXNP34","6QCMYABX3D","AWKS5CKWCSZXNP34.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","1080","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","m1.medium","No","General purpose","1","Intel Xeon Family",,"3.75 GiB","1 x 410","Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"APS2-BoxUsage:m1.medium","RunInstances:0010",,,,,,,,,,,,,,,,"NA",,
"MM89A8ZSTKMB3A6H","HU7G6KETJZ","MM89A8ZSTKMB3A6H.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","530","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","c4.xlarge","Yes","Compute optimized","4","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","7.5 GiB","EBS only","High","64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"USW2-BoxUsage:c4.xlarge","RunInstances:0010",,"750 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"XDY5DXRYQV4CM3ED","38NPMPTW36","XDY5DXRYQV4CM3ED.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","17213","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","c4.4xlarge","Yes","Compute optimized","16","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","30 GiB","EBS only","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"SAE1-BoxUsage:c4.4xlarge","RunInstances:0002",,"2000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"7KJGAP92XUC2ZZ3E","R5XV2EPZQZ","7KJGAP92XUC2ZZ3E.R5XV2EPZQZ.6YS6EN2CT7","Reserved","Windows with SQL Server Web (Amazon VPC), t2.large instance-hours used this month","2016-11-30","0","Inf","Hrs","0.1100000000","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","t2.large",,"General purpose","2","Intel Xeon Family","Up to 3.0 GHz","8 GiB","EBS only","Low to Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"SAE1-BoxUsage:t2.large","RunInstances:0202",,,,,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"4EBV6P5EQBBDFNKX","38NPMPTW36","4EBV6P5EQBBDFNKX.38NPMPTW36.6YS6EN2CT7","Reserved","Windows with SQL Server Enterprise (Amazon VPC), m4.2xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","1.7780000000","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US East (N. Virginia)","AWS Region","m4.2xlarge","Yes","General purpose","8","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS only","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"DedicatedUsage:m4.2xlarge","RunInstances:0102",,"1000 Mbps","Yes",,,,,,,,,,,,,"SQL Server Enterprise","Intel AVX; Intel AVX2; Intel Turbo",
"QPX7XJ4NR7V93P4R","MZU6U2429S","QPX7XJ4NR7V93P4R.MZU6U2429S.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","115184","USD","3yr","All Upfront","convertible","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","i2.8xlarge","Yes","Storage optimized","32","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"EUC1-DedicatedUsage:i2.8xlarge","RunInstances:0202",,,"Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"BBAW6ZKC884M5RVX","JRTCKXETXF","BBAW6ZKC884M5RVX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.368 per On Demand RHEL m3.xlarge Instance Hour","2017-02-01","0","Inf","Hrs","0.3680000000","USD",,,,"Compute Instance","AmazonEC2","US West (N. California)","AWS Region","m3.xlarge","Yes","General purpose","4","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","15 GiB","2 x 40 SSD","High","64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"USW1-BoxUsage:m3.xlarge","RunInstances:0010",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"UGNU7QCPSEHQ4SA7","JRTCKXETXF","UGNU7QCPSEHQ4SA7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per SUSE r3.8xlarge Dedicated Host Instance hour","2017-02-01","0","Inf","Hrs","0.0000000000","USD",,,,"Compute Instance","AmazonEC2","AWS GovCloud (US)","AWS Region","r3.8xlarge","Yes","Memory optimized","32","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit",,,,,,,,"Host",,"SUSE","No License required",,,,,,,,"UGW1-HostBoxUsage:r3.8xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"KJQ798MAZMM44GQR","Z2E3P23VKM","KJQ798MAZMM44GQR.Z2E3P23VKM.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), d2.4xlarge instance-hours used this month","2016-11-30","0","Inf","Hrs","1.9130000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","AWS GovCloud (US)","AWS Region","d2.4xlarge","Yes","Storage optimized","16","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","122 GiB","12 x 2000 HDD","High","64-bit",,,,,,,,"Dedicated",,"Linux","No License required",,,,,,,,"UGW1-DedicatedUsage:d2.4xlarge","RunInstances",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"VJTE5QPZS53YGPGK","NQ3QZPMQV9","VJTE5QPZS53YGPGK.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","2575","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","t2.large",,"General purpose","2","Intel Xeon Family","Up to 3.0 GHz","8 GiB","EBS only","Low to Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APS2-BoxUsage:t2.large","RunInstances:0002",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"AFHR7V5KAHXD8DCR","NQ3QZPMQV9","AFHR7V5KAHXD8DCR.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","2147","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","t2.medium",,"General purpose","2","Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"EU-BoxUsage:t2.medium","RunInstances:0010",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"RFPB54JTU6FHGKQV","R5XV2EPZQZ","RFPB54JTU6FHGKQV.R5XV2EPZQZ.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), c3.large instance-hours used this month","2016-09-30","0","Inf","Hrs","0.2540000000","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Tokyo)","AWS Region","c3.large","Yes","Compute optimized","2","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","3.75 GiB","2 x 16 SSD","Moderate","32-bit or 64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APN1-DedicatedUsage:c3.large","RunInstances:0006",,,"Yes",,,,,,,,,,,,,"SQL Std","Intel AVX; Intel Turbo",
"4TE6EMDQEPCBNFAE","NQ3QZPMQV9","4TE6EMDQEPCBNFAE.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2015-04-30",,,"Quantity","23691","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","US East (N. Virginia)","AWS Region","i2.4xlarge","Yes","Storage optimized","16","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","4 x 800 SSD","High","64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"BoxUsage:i2.4xlarge","RunInstances:0010",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"TSMSMEFQSHNWYBFM","38NPMPTW36","TSMSMEFQSHNWYBFM.38NPMPTW36.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), i2.xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","0.4930000000","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","i2.xlarge","Yes","Storage optimized","4","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 800 SSD","Moderate","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APS2-DedicatedUsage:i2.xlarge","RunInstances:0006",,,"Yes",,,,,,,,,,,,,"SQL Std","Intel AVX; Intel Turbo",
"JTGV9CDXHQF4NMN4","JRTCKXETXF","JTGV9CDXHQF4NMN4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.063 per On Demand Windows with SQL Server Enterprise r3.xlarge Instance Hour","2017-02-01","0","Inf","Hrs","2.0630000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Mumbai)","AWS Region","r3.xlarge","Yes","Memory optimized","4","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APS3-BoxUsage:r3.xlarge","RunInstances:0102",,,"Yes",,,,,,,,,,,,,"SQL Server Enterprise","Intel AVX; Intel Turbo",
"GDSCFT6UMGKNRQCS","HU7G6KETJZ","GDSCFT6UMGKNRQCS.HU7G6KETJZ.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), r4.4xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","2.9720000000","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US East (Ohio)","AWS Region","r4.4xlarge","Yes","Memory optimized","16","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","122 GiB","EBS only","Up to 10 Gigabit","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"USE2-DedicatedUsage:r4.4xlarge","RunInstances:0006",,"3000 Mbps","Yes",,,,,,,,,,,,,"SQL Std","Intel AVX, Intel AVX2, Intel Turbo",
"MUR4KY89WXF2GPZ6","R5XV2EPZQZ","MUR4KY89WXF2GPZ6.R5XV2EPZQZ.6YS6EN2CT7","Reserved","SUSE Linux (Amazon VPC), r3.8xlarge instance-hours used this month","2016-09-30","0","Inf","Hrs","0.6020000000","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","r3.8xlarge","Yes","Memory optimized","32","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"EU-BoxUsage:r3.8xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"CPND4DX889DY5TQ2","R5XV2EPZQZ","CPND4DX889DY5TQ2.R5XV2EPZQZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","7557","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","US West (N. California)","AWS Region","r4.2xlarge","Yes","Memory optimized","8","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","EBS only","Up to 10 Gigabit","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"USW1-BoxUsage:r4.2xlarge","RunInstances:0202",,"1600 Mbps","Yes",,,,,,,,,,,,,"SQL Web","Intel AVX, Intel AVX2, Intel Turbo",
"TDHUGUU9HQMWQTHY","Z2E3P23VKM","TDHUGUU9HQMWQTHY.Z2E3P23VKM.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), x1.16xlarge instance-hours used this month","2016-09-30","0","Inf","Hrs","29.6110000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","x1.16xlarge",,"Memory optimized","64","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","976 Gib","1 x 1,920","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"EU-DedicatedUsage:x1.16xlarge","RunInstances:0006",,,"Yes",,,,,,,,,"Yes","Yes","Yes",,"SQL Std",,
"3DBNGU5BH9J4VK6H","Z2E3P23VKM","3DBNGU5BH9J4VK6H.Z2E3P23VKM.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), c3.8xlarge instance-hours used this month","2016-09-30","0","Inf","Hrs","6.0260000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","c3.8xlarge","Yes","Compute optimized","32","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","60 GiB","2 x 320 SSD","10 Gigabit","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"EU-DedicatedUsage:c3.8xlarge","RunInstances:0006",,,"Yes",,,,,,,,,,,,,"SQL Std","Intel AVX; Intel Turbo",
"TNGJZJZRV2M9QWEH","JRTCKXETXF","TNGJZJZRV2M9QWEH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$33.842 per On Demand Windows with SQL Std x1.16xlarge Instance Hour","2017-02-01","0","Inf","Hrs","33.8420000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","x1.16xlarge",,"Memory optimized","64","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","976 Gib","1 x 1,920","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APS2-BoxUsage:x1.16xlarge","RunInstances:0006",,,"Yes",,,,,,,,,"Yes","Yes","Yes",,"SQL Std",,
"KYFX85FCPCCT57BD","MZU6U2429S","KYFX85FCPCCT57BD.MZU6U2429S.6YS6EN2CT7","Reserved","USD 0.0 per Linux/UNIX (Amazon VPC), c3.8xlarge instance-hour (or partial hour)","2016-08-31","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","convertible","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","c3.8xlarge","Yes","Compute optimized","32","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","60 GiB","2 x 320 SSD","10 Gigabit","64-bit",,,,,,,,"Shared",,"Linux","No License required",,,,,,,,"EUC1-BoxUsage:c3.8xlarge","RunInstances",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"NCWXGDK9JC8YUG4B","38NPMPTW36","NCWXGDK9JC8YUG4B.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2015-12-31",,,"Quantity","10643","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","r3.2xlarge","Yes","Memory optimized","8","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EU-BoxUsage:r3.2xlarge","RunInstances:0002",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"58MCC87P4WYFPC5Q","6QCMYABX3D","58MCC87P4WYFPC5Q.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per SUSE Linux (Amazon VPC), d2.4xlarge instance-hour (or partial hour)","2015-04-30","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Singapore)","AWS Region","d2.4xlarge","Yes","Storage optimized","16","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","122 GiB","12 x 2000 HDD","High","64-bit",,,,,,,,"Dedicated",,"SUSE","No License required",,,,,,,,"APS1-DedicatedUsage:d2.4xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"YPBKXPNSR33933KS","HU7G6KETJZ","YPBKXPNSR33933KS.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","832","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","m4.large","Yes","General purpose","2","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS only","Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EUC1-BoxUsage:m4.large","RunInstances:0202",,"450 Mbps","Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel AVX2; Intel Turbo",
"ZVFVENV69VQDKD7G","38NPMPTW36","ZVFVENV69VQDKD7G.38NPMPTW36.6YS6EN2CT7","Reserved","Windows with SQL Server Enterprise (Amazon VPC), i2.8xlarge instance-hours used this month","2016-11-30","0","Inf","Hrs","7.6350000000","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US East (Ohio)","AWS Region","i2.8xlarge","Yes","Storage optimized","32","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"USE2-DedicatedUsage:i2.8xlarge","RunInstances:0102",,,"Yes",,,,,,,,,,,,,"SQL Server Enterprise","Intel AVX; Intel Turbo",
"7DBYCHFPRYPCDWTT","HU7G6KETJZ","7DBYCHFPRYPCDWTT.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","35","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","t2.micro",,"General purpose","1","Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"RHEL","No License required",,,,,,,,"USW2-BoxUsage:t2.micro","RunInstances:0010",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
