"FormatVersion","v1.0"
"6WZEJPWGCZ3J7XWW","6QCMYABX3D","6WZEJPWGCZ3J7XWW.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per Windows with SQL Server Web (Amazon VPC), c3.2xlarge instance-hour (or partial hour)","2015-04-30","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","c3.2xlarge","Yes","Compute optimized","8","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","15 GiB","2 x 80 SSD","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"USW2-BoxUsage:c3.2xlarge","RunInstances:0202",,,"Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"79PA2ATJ4AFXSTN7","NQ3QZPMQV9","79PA2ATJ4AFXSTN7.NQ3QZPMQV9.6YS6EN2CT7","Reserved","USD 0.0 per Windows (Amazon VPC), c3.xlarge instance-hour (or partial hour)","2016-10-31","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","c3.xlarge","Yes","Compute optimized","4","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","7.5 GiB","2 x 40 SSD","Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EUC1-BoxUsage:c3.xlarge","RunInstances:0002",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"4YEFRYG3768S2EJ9","HU7G6KETJZ","4YEFRYG3768S2EJ9.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","5863","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US West (N. California)","AWS Region","c4.4xlarge","Yes","Compute optimized","16","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","30 GiB","EBS only","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"USW1-BoxUsage:c4.4xlarge","RunInstances:0002",,"2000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"H24Y96PMCY33E44P","4NA7Y494T4","H24Y96PMCY33E44P.4NA7Y494T4.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), r3.large instance-hours used this month","2016-09-30","0","Inf","Hrs","1.0960000000","USD","1yr","No Upfront","standard","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","r3.large","Yes","Memory optimized","2","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"SAE1-BoxUsage:r3.large","RunInstances:0006",,,"Yes",,,,,,,,,,,,,"SQL Std","Intel AVX; Intel Turbo",
"PHRMKQVF47V4GK29","6QCMYABX3D","PHRMKQVF47V4GK29.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per Red Hat Enterprise Linux (Amazon VPC), m2.4xlarge instance-hour (or partial hour)","2015-04-30","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","m2.4xlarge","No","Memory optimized","8","Intel Xeon Family",,"68.4 GiB","2 x 840","High","64-bit",,,,,,,,"Dedicated",,"RHEL","No License required",,,,,,,,"USW2-DedicatedUsage:m2.4xlarge","RunInstances:0010",,,,,,,,,,,,,,,,"NA",,
"DS6JF66QWRWU5DP4","R5XV2EPZQZ","DS6JF66QWRWU5DP4.R5XV2EPZQZ.6YS6EN2CT7","Reserved","Windows with SQL Server Standard (Amazon VPC), m4.10xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","4.3620000000","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Singapore)","AWS Region","m4.10xlarge","Yes","General purpose","40","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS only","10 Gigabit","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APS1-BoxUsage:m4.10xlarge","RunInstances:0006",,"4000 Mbps","Yes",,,,,,,,,,,,,"SQL Std","Intel AVX; Intel AVX2; Intel Turbo",
"W5UWZ3SYCJNQWMAF","6QCMYABX3D","W5UWZ3SYCJNQWMAF.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2015-04-30",,,"Quantity","1618","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","c3.xlarge","Yes","Compute optimized","4","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","7.5 GiB","2 x 40 SSD","Moderate","64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"EU-BoxUsage:c3.xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"D98TEBEBF293R9TP","MZU6U2429S","D98TEBEBF293R9TP.MZU6U2429S.6YS6EN2CT7","Reserved","USD 0.0 per Red Hat Enterprise Linux (Amazon VPC), c4.xlarge instance-hour (or partial hour)","2016-11-30","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","c4.xlarge","Yes","Compute optimized","4","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","7.5 GiB","EBS only","High","64-bit",,,,,,,,"Dedicated",,"RHEL","No License required",,,,,,,,"APS2-DedicatedUsage:c4.xlarge","RunInstances:0010",,"750 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"3JHUMCQQBEY3YFQK","6QCMYABX3D","3JHUMCQQBEY3YFQK.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","16118","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","c4.4xlarge","Yes","Compute optimized","16","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","30 GiB","EBS only","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"SAE1-BoxUsage:c4.4xlarge","RunInstances:0202",,"2000 Mbps","Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel AVX2; Intel Turbo",
"HEPJUXTZV4J7YVUV","MZU6U2429S","HEPJUXTZV4J7YVUV.MZU6U2429S.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","133585","USD","3yr","All Upfront","convertible","Compute Instance","AmazonEC2","EU (Frankfurt)","AWS Region","m4.16xlarge","Yes","General purpose","64","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","256 GiB","EBS only","20 Gigabit","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EUC1-BoxUsage:m4.16xlarge","RunInstances:0202",,"10000 Mbps","Yes",,,,,,,,,,,,,"SQL Web","Intel AVX, Intel AVX2, Intel Turbo",
"BRXESACTF8XTFQ77","4NA7Y494T4","BRXESACTF8XTFQ77.4NA7Y494T4.6YS6EN2CT7","Reserved","Windows (Amazon VPC), d2.2xlarge instance-hours used this month","2016-06-30","0","Inf","Hrs","1.4400000000","USD","1yr","No Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Mumbai)","AWS Region","d2.2xlarge","Yes","Storage optimized","8","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","61 GiB","6 x 2000 HDD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APS3-DedicatedUsage:d2.2xlarge","RunInstances:0002",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"UUUF6MUK6WT7VG49","6QCMYABX3D","UUUF6MUK6WT7VG49.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per SUSE Linux (Amazon VPC), m2.4xlarge instance-hour (or partial hour)","2015-04-30","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","m2.4xlarge","No","Memory optimized","8","Intel Xeon Family",,"68.4 GiB","2 x 840","High","64-bit",,,,,,,,"Dedicated",,"SUSE","No License required",,,,,,,,"SAE1-DedicatedUsage:m2.4xlarge","RunInstances:000g",,,,,,,,,,,,,,,,"NA",,
"JC2F5D6N7YNDVHBC","JRTCKXETXF","JC2F5D6N7YNDVHBC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.016 per On Demand Windows BYOL t2.micro Instance Hour","2017-02-01","0","Inf","Hrs","0.0160000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","t2.micro",,"General purpose","1","Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"Windows","Bring your own license",,,,,,,,"APS2-BoxUsage:t2.micro","RunInstances:0800",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"AW3JEVRBNMY89WKP","JRTCKXETXF","AW3JEVRBNMY89WKP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.261 per Dedicated Usage Linux m4.xlarge Instance Hour","2017-02-01","0","Inf","Hrs","0.2610000000","USD",,,,"Compute Instance","AmazonEC2","Canada (Central)","AWS Region","m4.xlarge","Yes","General purpose","4","Intel Xeon E5-2676 v3 (Haswell)","2.4  GHz","16 GiB","EBS only","High","64-bit",,,,,,,,"Dedicated",,"Linux","No License required",,,,,,,,"CAN1-DedicatedUsage:m4.xlarge","RunInstances",,"750 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"7WY9SBFYDY5AM4VW","JRTCKXETXF","7WY9SBFYDY5AM4VW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.383 per Dedicated SQL Web c3.4xlarge Instance Hour","2017-02-01","0","Inf","Hrs","2.3830000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Tokyo)","AWS Region","c3.4xlarge","Yes","Compute optimized","16","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","30 GiB","2 x 160 SSD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APN1-DedicatedUsage:c3.4xlarge","RunInstances:0202",,,"Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"TWYWJTKKQMNEQZXA","HU7G6KETJZ","TWYWJTKKQMNEQZXA.HU7G6KETJZ.6YS6EN2CT7","Reserved","Windows with SQL Server Enterprise (Amazon VPC), d2.2xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","2.1460000000","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","US West (N. California)","AWS Region","d2.2xlarge","Yes","Storage optimized","8","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","61 GiB","6 x 2000 HDD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"USW1-DedicatedUsage:d2.2xlarge","RunInstances:0102",,,"Yes",,,,,,,,,,,,,"SQL Server Enterprise","Intel AVX; Intel AVX2; Intel Turbo",
"KDMZCH5JCDEAG3RV","NQ3QZPMQV9","KDMZCH5JCDEAG3RV.NQ3QZPMQV9.6YS6EN2CT7","Reserved","USD 0.0 per SUSE Linux (Amazon VPC), c4.4xlarge instance-hour (or partial hour)","2016-11-30","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","c4.4xlarge","Yes","Compute optimized","16","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","30 GiB","EBS only","High","64-bit",,,,,,,,"Dedicated",,"SUSE","No License required",,,,,,,,"USW2-DedicatedUsage:c4.4xlarge","RunInstances:000g",,"2000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"FGYCTSSBA8FU2QXY","Z2E3P23VKM","FGYCTSSBA8FU2QXY.Z2E3P23VKM.6YS6EN2CT7","Reserved","Red Hat Enterprise Linux (Amazon VPC), r4.16xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","3.3570000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Sydney)","AWS Region","r4.16xlarge","Yes","Memory optimized","64","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","488 GiB","EBS only","20 Gigabit","64-bit",,,,,,,,"Dedicated",,"RHEL","No License required",,,,,,,,"APS2-DedicatedUsage:r4.16xlarge","RunInstances:0010",,"12000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX, Intel AVX2, Intel Turbo",
"N346AQJF2TFRZXFR","Z2E3P23VKM","N346AQJF2TFRZXFR.Z2E3P23VKM.6YS6EN2CT7","Reserved","Windows with SQL Server Web (Amazon VPC), r3.xlarge instance-hours used this month","2016-09-30","0","Inf","Hrs","0.5620000000","USD","3yr","No Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Tokyo)","AWS Region","r3.xlarge","Yes","Memory optimized","4","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"APN1-DedicatedUsage:r3.xlarge","RunInstances:0202",,,"Yes",,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"57M4AZ4NRYTPT6NM","R5XV2EPZQZ","57M4AZ4NRYTPT6NM.R5XV2EPZQZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","134225","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Singapore)","AWS Region","x1.32xlarge",,"Memory optimized","128","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","1,952 Gib","2 x 1,920","High","64-bit",,,,,,,,"Shared",,"Linux","No License required",,,,,,,,"APS1-BoxUsage:x1.32xlarge","RunInstances",,,"Yes",,,,,,,,,"Yes","Yes","Yes",,"NA",,
"U6Y59XJXKQJAQ3Z9","6QCMYABX3D","U6Y59XJXKQJAQ3Z9.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per Windows with SQL Server Web (Amazon VPC), t2.xlarge instance-hour (or partial hour)","2016-10-31","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","AWS GovCloud (US)","AWS Region","t2.xlarge",,"General purpose","4","Intel Xeon Family","Up to 3.0 GHz","16 GiB","EBS only","Moderate","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"UGW1-BoxUsage:t2.xlarge","RunInstances:0202",,,,,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"E2CS4M8CTZQAQ963","R5XV2EPZQZ","E2CS4M8CTZQAQ963.R5XV2EPZQZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","896","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Seoul)","AWS Region","t2.micro",,"General purpose","1","Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APN2-BoxUsage:t2.micro","RunInstances:0202",,,,,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"7AMTXR9GMHCCAJWS","JRTCKXETXF","7AMTXR9GMHCCAJWS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.32 per Dedicated Usage Windows r3.large Instance Hour","2017-02-01","0","Inf","Hrs","0.3200000000","USD",,,,"Compute Instance","AmazonEC2","US West (Oregon)","AWS Region","r3.large","Yes","Memory optimized","2","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"USW2-DedicatedUsage:r3.large","RunInstances:0002",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"PT3DMT8K757NSK88","JRTCKXETXF","PT3DMT8K757NSK88.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.288 per Dedicated Usage SUSE m4.large Instance Hour","2017-02-01","0","Inf","Hrs","0.2880000000","USD",,,,"Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","m4.large","Yes","General purpose","2","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS only","Moderate","64-bit",,,,,,,,"Dedicated",,"SUSE","No License required",,,,,,,,"SAE1-DedicatedUsage:m4.large","RunInstances:000g",,"450 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"PMMHQSUBHY5GTRE8","6QCMYABX3D","PMMHQSUBHY5GTRE8.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","1799","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","US East (Ohio)","AWS Region","r4.xlarge","Yes","Memory optimized","4","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","30.5 GiB","EBS only","Up to 10 Gigabit","64-bit",,,,,,,,"Dedicated",,"SUSE","No License required",,,,,,,,"USE2-DedicatedUsage:r4.xlarge","RunInstances:000g",,"800 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX, Intel AVX2, Intel Turbo",
"W4453M8EM8NDNYC5","38NPMPTW36","W4453M8EM8NDNYC5.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",,,"Quantity","9734","USD","3yr","Partial Upfront","standard","Compute Instance","AmazonEC2","Asia Pacific (Seoul)","AWS Region","r3.4xlarge","Yes","Memory optimized","16","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","1 x 320 SSD","High","64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"APN2-BoxUsage:r3.4xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"8NZJVJPUUPFQD5XT","NQ3QZPMQV9","8NZJVJPUUPFQD5XT.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","259184","USD","3yr","All Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","p2.16xlarge",,"GPU instance","64","Intel Xeon E5-2686 v4 (Broadwell)",,"768 GiB","EBS only","20 Gigabit","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EU-BoxUsage:p2.16xlarge","RunInstances:0002",,,,"16",,,,,,,,,,,,"NA",,
"W2GSCVSMW3FPBPN9","R5XV2EPZQZ","W2GSCVSMW3FPBPN9.R5XV2EPZQZ.6YS6EN2CT7","Reserved","SUSE Linux (Amazon VPC), m4.16xlarge instance-hours used this month","2016-10-31","0","Inf","Hrs","1.1760000000","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","EU (London)","AWS Region","m4.16xlarge","Yes","General purpose","64","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","256 GiB","EBS only","20 Gigabit","64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"EUW2-BoxUsage:m4.16xlarge","RunInstances:000g",,"10000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX, Intel AVX2, Intel Turbo",
"J4HDRDMUA6DAK63W","JRTCKXETXF","J4HDRDMUA6DAK63W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per Linux m4.10xlarge Dedicated Host Instance hour","2017-02-01","0","Inf","Hrs","0.0000000000","USD",,,,"Compute Instance","AmazonEC2","Asia Pacific (Singapore)","AWS Region","m4.10xlarge","Yes","General purpose","40","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS only","10 Gigabit","64-bit",,,,,,,,"Host",,"Linux","No License required",,,,,,,,"APS1-HostBoxUsage:m4.10xlarge","RunInstances",,"4000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"KEP9UCRSK6PZAHJR","HU7G6KETJZ","KEP9UCRSK6PZAHJR.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","552","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","t2.medium",,"General purpose","2","Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"EU-BoxUsage:t2.medium","RunInstances:0202",,,,,,,,,,,,,,,,"SQL Web","Intel AVX; Intel Turbo",
"KRWP25Y5BGWWD2C7","6QCMYABX3D","KRWP25Y5BGWWD2C7.6QCMYABX3D.6YS6EN2CT7","Reserved","USD 0.0 per SUSE Linux (Amazon VPC), r3.4xlarge instance-hour (or partial hour)","2015-12-31","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Compute Instance","AmazonEC2","EU (Ireland)","AWS Region","r3.4xlarge","Yes","Memory optimized","16","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","1 x 320 SSD","High","64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"EU-BoxUsage:r3.4xlarge","RunInstances:000g",,,"Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
"7RWJYQACGZC69EP7","HU7G6KETJZ","7RWJYQACGZC69EP7.HU7G6KETJZ.6YS6EN2CT7","Reserved","Windows with SQL Server Enterprise (Amazon VPC), m3.2xlarge instance-hours used this month","2016-11-30","0","Inf","Hrs","1.9120000000","USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","South America (Sao Paulo)","AWS Region","m3.2xlarge","Yes","General purpose","8","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","30 GiB","2 x 80 SSD","High","64-bit",,,,,,,,"Dedicated",,"Windows","License Included",,,,,,,,"SAE1-DedicatedUsage:m3.2xlarge","RunInstances:0102",,,,,,,,,,,,,,,,"SQL Server Enterprise","Intel AVX; Intel Turbo",
"TN92R8JHFW9AZ8VT","MZU6U2429S","TN92R8JHFW9AZ8VT.MZU6U2429S.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","16625","USD","3yr","All Upfront","convertible","Compute Instance","AmazonEC2","Asia Pacific (Seoul)","AWS Region","m4.2xlarge","Yes","General purpose","8","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS only","High","64-bit",,,,,,,,"Shared",,"Windows","License Included",,,,,,,,"APN2-BoxUsage:m4.2xlarge","RunInstances:0002",,"1000 Mbps","Yes",,,,,,,,,,,,,"NA","Intel AVX; Intel AVX2; Intel Turbo",
"K4C6CFWP9PQ8UHCZ","R5XV2EPZQZ","K4C6CFWP9PQ8UHCZ.R5XV2EPZQZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","849","USD","3yr","Partial Upfront","convertible","Compute Instance","AmazonEC2","US West (N. California)","AWS Region","t2.medium",,"General purpose","2","Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS only","Low to Moderate","32-bit or 64-bit",,,,,,,,"Shared",,"SUSE","No License required",,,,,,,,"USW1-BoxUsage:t2.medium","RunInstances:000g",,,,,,,,,,,,,,,,"NA","Intel AVX; Intel Turbo",
